event_id,title,client_name,meeting_date,policy_id,meeting_notes,participants,source_link
EVT-201,Renewal Pricing Strategy,Global Technologies,2025-01-19 10:00 AM,POL-9101,Discuss premium escalation vs deductible options,john@broker.com,ops@globaltech.com,https://outlook.office.com/calendar/event/evt201
EVT-202,Carrier Feedback Review,Apex Enterprises,2025-01-22 3:30 PM,POL-9214,Carrier request for safety compliance documents,sarah@broker.com,rm@apexent.com,https://outlook.office.com/calendar/event/evt202
EVT-203,Claims Impact Meeting,Omega Global,2025-01-25 11:45 AM,POL-9320,Rising claims frequency affects renewal position,daniel@broker.com,finance@omegaglobal.com,https://outlook.office.com/calendar/event/evt203
EVT-204,Document Request Follow-up,Omega Global,2025-01-28 2:15 PM,POL-9320,P&L statement pending from client before marketing quotes,sarah@broker.com,legal@omegaglobal.com,https://outlook.office.com/calendar/event/evt204
EVT-205,Renewal Kickoff Workshop,Apex Corporation,2025-02-02 9:30 AM,POL-9408,Review expiring endorsements and introduce cyber option,john@broker.com,procurement@apexcorp.com,https://outlook.office.com/calendar/event/evt205
EVT-206,Underwriter Negotiation Prep,Titan Solutions,2025-01-18 4:00 PM,POL-9554,Review loss-run before carrier call tomorrow,daniel@broker.com,claims@titansol.com,https://outlook.office.com/calendar/event/evt206
EVT-207,Client Risk Review Session,Nexus Solutions,2025-01-27 1:30 PM,POL-9671,Highlight safety measures to justify rate stability,sarah@broker.com,ops@nexus.com,https://outlook.office.com/calendar/event/evt207
EVT-208,Renewal Strategy Call,Phoenix Holdings,2025-02-03 1:00 PM,POL-9735,Client expects minimal premium increases,john@broker.com,procurement@phoenixhld.com,https://outlook.office.com/calendar/event/evt208
EVT-209,Loss Control Discussion,Phoenix Holdings,2025-02-12 10:15 AM,POL-9735,Carrier requested workplace safety audit results,daniel@broker.com,hr@phoenixhld.com,https://outlook.office.com/calendar/event/evt209
EVT-210,Post-Renewal Satisfaction Check,Sterling Industries,2025-01-15 12:00 PM,POL-9822,Overall satisfaction good; cross-sell opportunity exists,sarah@broker.com,finance@sterlingind.com,https://outlook.office.com/calendar/event/evt210
EVT-211,Endorsement Change Review,Phoenix Associates,2025-01-30 11:00 AM,POL-9880,Client wants to adjust coverage limits before renewal,john@broker.com,ops@phoenixassc.com,https://outlook.office.com/calendar/event/evt211
EVT-212,Benchmarking Review,Apex Ventures,2025-02-07 3:45 PM,POL-10012,Compare competitor pricing and deductible trends,daniel@broker.com,cfo@apexvt.com,https://outlook.office.com/calendar/event/evt212
EVT-213,Claims Meeting,Horizon Enterprises,2025-01-21 2:30 PM,POL-10104,Carrier requires supporting invoices for one claim,sarah@broker.com,claims@horizonent.com,https://outlook.office.com/calendar/event/evt213
EVT-214,Underwriting Notes Review,Summit Solutions,2025-01-26 9:45 AM,POL-10229,Carrier open to multi-year agreement if risk improves,john@broker.com,rm@summitsol.com,https://outlook.office.com/calendar/event/evt214
EVT-215,Renewal Roadmap Session,Sterling Partners,2025-02-04 4:00 PM,POL-10365,Client exploring switching carriers; request pricing scenarios,daniel@broker.com,management@sterlingp.com,https://outlook.office.com/calendar/event/evt215
EVT-216,Proposal Review,Premier Group,2025-02-10 12:30 PM,POL-10409,Review premium options and coverage structure,sarah@broker.com,finance@premiergrp.com,https://outlook.office.com/calendar/event/evt216
EVT-217,Coverage Alignment Workshop,Titan Corporation,2025-02-13 10:45 AM,POL-10497,Client wants additional cyber + D&O comparison,john@broker.com,cto@titancorp.com,https://outlook.office.com/calendar/event/evt217
EVT-218,Risk Advisory Touchpoint,Vertex Systems,2025-01-29 11:30 AM,POL-10580,Client asked for risk heat-map for board meeting,daniel@broker.com,board@vertexsys.com,https://outlook.office.com/calendar/event/evt218
EVT-219,Renewal Readiness Check,Zenith Partners,2025-01-20 2:00 PM,POL-10641,Missing COI renewals for two locations,sarah@broker.com,ops@zenithprtns.com,https://outlook.office.com/calendar/event/evt219
EVT-220,Multi-Policy Alignment Meeting,Summit Capital,2025-02-01 1:15 PM,POL-10699,Group renewal consolidation across 3 lines of business,john@broker.com,management@summitcap.com,https://outlook.office.com/calendar/event/evt220
